Method,Rows,Cols,Size_MB,Time_ms,Bandwidth_GB_s,Elements_per_sec
CUDA_8x8,2048,1024,8.000000,107.504000,0.156061,1.950766e+07
CUDA_16x16,2048,1024,8.000000,5.034000,3.332780,4.165975e+08
CUDA_32x32,2048,1024,8.000000,4.589000,3.655963,4.569954e+08
